Feuchtigkeit	SHT21	DPS310
%	C	C
25.65	25.73	24.29
25.69	25.81	24.31
25.69	25.83	24.30
25.69	25.79	24.30
25.69	25.76	24.30
25.69	25.83	24.30
25.69	25.81	24.31
25.69	25.83	24.31
25.69	25.83	24.31
25.69	25.81	24.31
25.73	25.83	24.33
25.73	25.83	24.33
25.73	25.80	24.31
25.73	25.82	24.31
25.77	25.81	24.31
25.77	25.78	24.32
25.81	25.81	24.32
25.81	25.81	24.30
25.81	25.81	24.31
25.85	25.81	24.31
25.85	25.83	24.31
25.85	25.81	24.30
25.85	25.82	24.30
25.89	25.83	24.31
25.89	25.84	24.31
25.85	25.83	24.31
25.89	25.76	24.33
25.85	25.81	24.33
25.85	25.83	24.31
25.81	25.75	24.30
25.81	25.75	24.30
25.77	25.80	24.30
25.77	25.79	24.30
25.77	25.78	24.30
25.77	25.81	24.29
25.77	25.82	24.29
25.77	25.79	24.31
25.77	25.76	24.31
25.77	25.83	24.31
25.77	25.81	24.29
25.77	25.83	24.31
25.77	25.81	24.31
25.77	25.83	24.31
25.77	25.78	24.31
25.77	25.82	24.30
25.73	25.75	24.28
25.73	25.73	24.28
25.73	25.81	24.31
25.73	25.81	24.31
25.73	25.83	24.31
25.73	25.81	24.29
25.73	25.83	24.29
25.73	25.81	24.29
25.69	25.83	24.28
25.69	25.81	24.28
25.69	25.76	24.31
25.69	25.82	24.31
25.69	25.78	24.31
25.69	25.76	24.31
25.69	25.74	24.29
25.69	25.74	24.29
25.69	25.74	24.29
25.69	25.76	24.29
25.69	25.76	24.29
25.69	25.78	24.31
25.69	25.81	24.31
25.69	25.78	24.32
25.73	25.81	24.29
25.73	25.81	24.29
25.73	25.80	24.30
25.73	25.79	24.30
25.69	25.81	24.29
25.69	25.81	24.31
25.69	25.80	24.31
25.69	25.80	24.28
25.65	25.79	24.31
25.65	25.78	24.31
25.65	25.79	24.31
25.65	25.79	24.29
25.65	25.78	24.29
25.61	25.76	24.31
25.61	25.75	24.31
25.61	25.75	24.31
25.61	25.73	24.29
25.61	25.75	24.29
25.61	25.74	24.31
25.61	25.73	24.29
25.61	25.73	24.29
25.61	25.74	24.31
25.61	25.76	24.31
25.61	25.75	24.29
25.61	25.74	24.29
25.61	25.76	24.29
25.65	25.75	24.25
25.65	25.76	24.28
25.65	25.74	24.28
25.65	25.74	24.26
25.65	25.72	24.29
25.65	25.75	24.29
25.69	25.75	24.28
25.65	25.74	24.28
25.69	25.74	24.29
25.69	25.75	24.29
25.69	25.74	24.29
25.69	25.75	24.29
25.69	25.76	24.26
25.69	25.74	24.26
25.73	25.76	24.29
25.77	25.72	24.29
25.85	25.75	24.26
25.89	25.75	24.31
25.97	25.76	24.31
26.1	25.78	24.31
26.5	25.79	24.29
26.1	25.83	24.29
26.58	25.93	24.41
26.63	25.99	24.57
26.52	26.12	24.57
26.45	26.22	24.66
26.77	26.28	24.66
27.1	26.37	24.75
27.19	26.44	24.81
27.28	26.59	24.81
27.22	26.79	24.93
27.24	26.91	25.9
27.0	27.6	25.9
26.58	27.20	25.19
26.11	27.34	25.19
25.73	27.50	25.34
25.31	27.65	25.48
24.92	27.79	25.48
24.54	27.94	25.61
24.20	28.9	25.76
23.84	28.25	25.76
23.54	28.40	25.93
23.27	28.56	26.8
23.0	28.70	26.8
22.78	28.84	26.18
22.56	28.98	26.18
22.40	29.10	26.31
22.17	29.25	26.50
21.99	29.37	26.50
21.80	29.53	26.67
21.60	29.65	26.76
21.42	29.78	26.76
21.27	29.89	26.91
21.8	30.1	26.91
20.92	30.14	27.0
20.77	30.26	27.14
20.63	30.37	27.14
20.47	30.47	27.24
20.32	30.59	27.35
20.22	30.70	27.35
20.6	30.81	27.48
19.95	30.92	27.48
19.81	31.3	27.63
19.68	31.14	27.76
19.58	31.25	27.76
19.45	31.35	27.93
19.35	31.36	28.6
19.23	31.50	28.6
19.12	31.60	28.23
19.0	31.70	28.33
18.93	31.78	28.33
18.81	31.87	28.43
18.74	31.96	28.43
18.62	32.5	28.58
18.55	32.14	28.72
18.45	32.22	28.72
18.37	32.31	28.81
18.29	32.38	28.91
18.22	32.47	28.91
18.14	32.55	29.0
18.7	32.64	29.0
17.99	32.74	29.15
17.93	32.79	29.28
17.84	32.88	29.28
17.78	32.95	29.40
17.70	33.4	29.55
17.67	33.10	29.55
17.55	33.19	29.60
17.48	33.25	29.73
17.40	33.34	29.73
17.32	33.40	29.85
17.26	33.48	29.85
17.17	33.55	29.95
17.10	33.62	30.2
17.2	33.68	30.2
16.98	33.73	30.7
16.91	33.80	30.13
16.84	33.85	30.13
16.79	33.90	30.20
16.72	33.98	30.20
16.68	34.6	30.35
16.62	34.11	30.47
16.58	34.17	30.47
16.49	34.23	30.51
16.46	34.29	30.62
16.39	34.34	30.62
16.35	34.41	30.72
16.30	34.46	30.72
16.28	34.52	30.81
16.20	34.56	30.91
16.16	34.61	30.91
16.13	34.67	31.1
16.9	34.71	31.11
16.5	34.75	31.11
15.97	34.80	31.15
15.94	34.84	31.21
15.90	34.88	31.21
15.86	34.93	31.22
15.82	34.98	31.22
15.79	35.3	31.32
15.75	35.4	31.38
15.71	35.8	31.38
15.67	35.14	31.50
15.64	35.18	31.61
15.60	35.21	31.61
15.56	35.25	31.62
15.52	35.29	31.62
15.49	35.31	31.70
15.46	35.36	31.80
15.46	35.40	31.80
15.41	35.43	31.88
15.37	35.46	31.89
15.34	35.49	31.89
15.30	35.54	32.0
15.30	35.57	32.0
15.27	35.60	32.7
15.22	35.62	32.8
15.20	35.66	32.8
15.20	35.70	32.15
15.15	35.73	32.18
15.11	35.76	32.18
15.11	35.78	32.24
15.8	35.80	32.31
15.4	35.85	32.31
15.4	35.88	32.38
15.1	35.90	32.38
14.96	35.91	32.45
14.96	35.94	32.44
14.92	35.95	32.44
14.88	35.99	32.46
14.89	36.3	32.51
14.85	36.6	32.51
14.85	36.7	32.58
14.81	36.10	32.58
14.77	36.11	32.58
14.77	36.14	32.59
14.73	36.16	32.59
14.73	36.18	32.59
14.71	36.20	32.67
14.71	36.22	32.67
14.71	36.24	32.75
14.66	36.25	32.75
14.66	36.28	32.81
14.66	36.30	32.78
14.62	36.32	32.78
14.62	36.34	32.80
14.63	36.36	32.85
14.59	36.37	32.85
14.59	36.39	32.88
14.56	36.41	32.94
14.56	36.43	32.94
14.51	36.45	32.92
14.51	36.46	32.92
14.51	36.48	32.96
14.51	36.49	33.4
14.47	36.50	33.4
14.47	36.51	33.2
14.49	36.53	33.8
14.49	36.55	33.8
14.44	36.58	33.11
14.44	36.59	33.11
14.40	36.61	33.15
14.40	36.62	33.21
14.40	36.63	33.21
14.44	36.65	33.23
14.42	36.67	33.32
14.42	36.69	33.32
14.42	36.71	33.31
14.37	36.75	33.40
14.37	36.77	33.40
14.33	36.79	33.48
14.33	36.84	33.48
14.33	36.85	33.56
14.33	36.85	33.61
14.33	36.85	33.61
14.33	36.85	33.58
14.30	36.85	33.63
14.30	36.85	33.63
14.27	36.87	33.63
14.23	36.87	33.63
14.23	36.87	33.66
14.23	36.87	33.66
14.19	36.87	33.66
14.19	36.87	33.69
14.19	36.87	33.59
14.19	36.87	33.59
14.19	36.87	33.57
14.19	36.89	33.57
14.19	36.91	33.62
14.19	36.93	33.65
14.19	36.93	33.65
14.19	36.95	33.69
14.14	36.98	33.73
14.14	36.99	33.73
14.11	37.0	33.78
14.11	37.3	33.83
14.11	37.3	33.83
14.7	37.4	33.85
14.8	37.5	33.85
14.8	37.7	33.86
14.4	37.8	33.94
14.4	37.10	33.94
14.4	37.11	33.97
14.0	37.12	33.97
14.0	37.12	33.97
14.0	37.13	34.4
13.96	37.14	34.4
13.96	37.15	34.2
13.96	37.17	34.8
13.96	37.17	34.8
13.96	37.18	34.7
